도로,방향,월자,연도,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
조치원로,상행,평균통행속도,2017년,33,38,34,32,29,28,29,27,31,36,37,37
조치원로,상행,점유율,2017년,4,6,8,9,11,12,11,12,9,6,6,5
조치원로,하행,차로당도로교통량,2017년,3987,3956,4655,1953,3781,4218,4048,3052,3603,3908,4193,2665
조치원로,하행,평균통행속도,2017년,34,38,34,27,29,24,23,22,30,35,36,36
조치원로,하행,점유율,2017년,5,7,10,13,12,17,16,17,12,7,9,8
지방도604호선,상행,차로당도로교통량,2017년,12170,11975,15061,6703,3073,0,0,0,9185,5987,10299,12754
지방도604호선,상행,평균통행속도,2017년,85,98,99,97,96,0,0,0,96,97,99,96
지방도604호선,상행,점유율,2017년,2,2,2,2,2,0,0,0,3,2,2,2
지방도604호선,하행,차로당도로교통량,2017년,5248,5111,7448,3023,1946,3257,1,0,5500,3631,6686,5742
지방도604호선,하행,평균통행속도,2017년,79,93,94,93,119,103,68,0,93,93,93,91
지방도604호선,하행,점유율,2017년,1,1,2,2,10,9,1,0,2,2,2,1
지방도96호선,상행,차로당도로교통량,2017년,4947,5513,6676,2491,3022,9424,7737,6714,6646,5642,8449,7009
지방도96호선,상행,평균통행속도,2017년,59,69,70,70,59,51,51,56,68,66,75,74
지방도96호선,상행,점유율,2017년,2,2,2,2,3,4,4,3,3,2,2,2
지방도96호선,하행,차로당도로교통량,2017년,5020,5093,5360,3586,6603,9079,5564,7340,5700,4741,5940,4273
지방도96호선,하행,평균통행속도,2017년,61,68,70,73,69,71,57,56,73,72,75,70
지방도96호선,하행,점유율,2017년,2,2,2,2,3,3,2,2,2,2,2,3
청연로,상행,차로당도로교통량,2017년,5930,6594,8919,3771,7879,10005,9062,6796,8445,8037,8280,6792
청연로,상행,평균통행속도,2017년,49,56,57,55,56,56,54,53,55,57,56,53
청연로,상행,점유율,2017년,2,3,3,3,4,4,4,4,4,3,3,3
청연로,하행,차로당도로교통량,2017년,4066,4293,5414,2380,4640,6292,5606,4349,5156,5125,5377,4348
청연로,하행,평균통행속도,2017년,56,62,61,60,59,60,58,57,59,61,60,60
청연로,하행,점유율,2017년,3,3,4,5,5,5,5,5,5,4,4,4
충현로,상행,차로당도로교통량,2017년,3378,3395,4775,2191,3995,5175,4528,3539,4176,4453,4442,3552
충현로,상행,평균통행속도,2017년,34,38,38,37,36,36,35,35,36,37,37,38
충현로,상행,점유율,2017년,3,4,6,6,6,6,7,7,7,6,5,4
충현로,하행,차로당도로교통량,2017년,7175,7537,9850,4637,8842,11052,10050,7573,9052,9421,9299,7836
충현로,하행,평균통행속도,2017년,35,40,39,38,38,38,37,37,38,40,39,39
충현로,하행,점유율,2017년,3,3,4,4,5,5,5,5,4,4,4,4
평기길,상행,차로당도로교통량,2017년,1250,1351,1768,767,1646,2046,1821,1423,1720,1677,1657,1081
평기길,상행,평균통행속도,2017년,38,48,47,46,46,46,45,45,46,47,48,47
평기길,상행,점유율,2017년,2,2,2,2,3,3,3,3,3,2,2,2
평기길,하행,차로당도로교통량,2017년,1588,1521,2247,1051,2219,2830,2276,1951,2451,2347,2134,1261
평기길,하행,평균통행속도,2017년,42,53,54,52,52,52,50,50,51,54,54,52
평기길,하행,점유율,2017년,2,2,3,3,3,3,3,4,4,3,3,3
한누리대로,상행,차로당도로교통량,2017년,7771,11675,16529,6911,13515,18790,15780,9539,13007,10033,14483,10260
한누리대로,상행,평균통행속도,2017년,57,59,59,58,59,59,58,61,60,61,60,58
한누리대로,상행,점유율,2017년,4,5,5,5,5,5,5,5,5,4,5,5
한누리대로,하행,차로당도로교통량,2017년,3984,10409,14616,6099,12066,16319,13965,8124,9833,7363,10355,7913
한누리대로,하행,평균통행속도,2017년,55,57,57,57,57,56,56,58,59,59,58,55
한누리대로,하행,점유율,2017년,4,4,5,5,5,5,5,4,4,4,4,4
갈매로,상행,차로당도로교통량,2018년,4538,5585,6192,5639,3395,8146,8219,6472,8358,10160,9284,6894
갈매로,상행,평균통행속도,2018년,54,54,57,58,58,58,57,57,57,56,56,53
갈매로,상행,점유율,2018년,2,1,2,1,1,1,2,1,2,2,2,2
갈매로,하행,차로당도로교통량,2018년,2190,3774,6674,6265,3794,8998,9045,7335,9600,11542,9724,6953
갈매로,하행,평균통행속도,2018년,52,52,51,52,52,52,51,50,51,51,50,49
갈매로,하행,점유율,2018년,2,2,2,2,2,2,2,2,2,2,2,2
당산로,상행,차로당도로교통량,2018년,6195,8658,8723,8701,5393,13516,13707,9870,2508,6742,12821,9145
당산로,상행,평균통행속도,2018년,54,56,55,55,54,52,51,50,52,53,53,51
당산로,상행,점유율,2018년,3,3,4,4,5,5,5,5,4,4,4,3
당산로,하행,차로당도로교통량,2018년,2579,3516,3571,3559,2167,5322,5312,3717,997,2505,4685,3404
당산로,하행,평균통행속도,2018년,54,57,55,56,55,53,52,50,52,52,52,50
당산로,하행,점유율,2018년,2,2,3,3,3,3,4,4,4,3,3,2
산학리길,상행,차로당도로교통량,2018년,1020,1161,1538,1467,1037,2431,2487,2026,2546,2996,2373,1613
산학리길,상행,평균통행속도,2018년,60,63,62,64,61,63,62,60,62,62,61,58
산학리길,상행,점유율,2018년,2,2,2,2,2,2,2,2,3,2,2,2
산학리길,하행,차로당도로교통량,2018년,1885,2461,2853,2551,1691,4073,4299,3253,4706,5096,3962,1769
산학리길,하행,평균통행속도,2018년,62,63,63,64,61,64,62,60,61,62,62,52
산학리길,하행,점유율,2018년,2,2,2,3,3,3,3,3,3,3,2,3
새내로,상행,차로당도로교통량,2018년,5341,6506,7871,7416,4619,10635,11380,8643,12119,13789,11701,8143
새내로,상행,평균통행속도,2018년,33,34,34,33,34,32,32,32,32,31,32,32
새내로,상행,점유율,2018년,8,7,9,10,10,11,9,11,10,11,8,7
새내로,하행,차로당도로교통량,2018년,2050,2536,2834,2858,1787,3972,4300,3349,4392,4777,4061,2970
새내로,하행,평균통행속도,2018년,42,42,41,39,39,37,37,37,38,39,41,42
새내로,하행,점유율,2018년,5,5,7,7,7,7,7,7,7,7,6,5
시목부강로,상행,차로당도로교통량,2018년,4474,5449,5665,5269,3145,7364,7210,5696,7311,8325,7772,6138
시목부강로,상행,평균통행속도,2018년,52,53,53,53,51,52,51,50,52,52,52,52
시목부강로,상행,점유율,2018년,4,4,5,5,5,6,6,6,5,6,5,4
시목부강로,하행,차로당도로교통량,2018년,3109,4237,4128,4006,2500,6174,5568,4544,6299,7542,5803,4204
시목부강로,하행,평균통행속도,2018년,47,50,47,50,48,50,49,47,49,49,48,48
시목부강로,하행,점유율,2018년,3,3,3,3,3,4,3,3,3,4,3,3
시청대로,상행,차로당도로교통량,2018년,1045,3533,4690,3874,2260,5507,6182,5057,5984,7571,6430,1479
시청대로,상행,평균통행속도,2018년,53,54,55,56,55,56,55,54,54,54,52,52
시청대로,상행,점유율,2018년,2,2,2,2,2,2,2,2,2,2,2,2
시청대로,하행,차로당도로교통량,2018년,2858,2697,3678,2944,1668,4364,4401,3454,4297,5227,4018,2981
시청대로,하행,평균통행속도,2018년,46,49,50,51,51,51,51,51,52,52,50,50
시청대로,하행,점유율,2018년,2,2,2,2,2,2,2,2,2,2,2,2
연청로,상행,차로당도로교통량,2018년,5408,7003,6944,2495,4446,10437,7808,7096,11289,13281,11422,7819
연청로,상행,평균통행속도,2018년,83,85,85,88,85,87,86,83,87,85,85,83
연청로,상행,점유율,2018년,2,2,2,2,2,2,3,2,2,2,2,2
연청로,하행,차로당도로교통량,2018년,4190,6057,5945,1983,3707,9013,8578,4833,8574,10244,9193,6570
연청로,하행,평균통행속도,2018년,78,79,78,78,76,79,77,76,80,78,79,78
연청로,하행,점유율,2018년,2,2,3,4,4,4,4,3,3,3,3,2
용연로,상행,차로당도로교통량,2018년,572,755,893,858,527,1367,1302,983,937,718,1309,820
용연로,상행,평균통행속도,2018년,57,59,58,58,60,61,59,55,56,55,60,58
용연로,상행,점유율,2018년,2,2,2,2,2,2,2,2,3,2,2,2
용연로,하행,차로당도로교통량,2018년,968,1057,1330,1273,810,2274,2148,1590,1372,1211,2175,1445
용연로,하행,평균통행속도,2018년,62,62,62,62,63,61,62,58,56,60,64,62
용연로,하행,점유율,2018년,2,2,2,3,3,3,3,4,4,3,2,2
일반국도1호선,상행,차로당도로교통량,2018년,23229,35658,35302,32964,20168,46520,44119,32177,44090,49899,46288,8817
일반국도1호선,상행,평균통행속도,2018년,76,78,76,76,76,78,76,75,76,76,77,73
일반국도1호선,상행,점유율,2018년,5,5,6,7,6,6,6,6,6,7,6,5
일반국도1호선,하행,차로당도로교통량,2018년,20030,28598,15454,28830,17220,12107,0,0,0,0,0,0
일반국도1호선,하행,평균통행속도,2018년,79,83,82,83,82,85,0,0,0,0,0,0
일반국도1호선,하행,점유율,2018년,4,3,4,5,4,4,0,0,0,0,0,0
일반국도36호선,상행,차로당도로교통량,2018년,23726,31888,32595,26139,17028,38519,36836,27161,39577,41960,38820,28004
일반국도36호선,상행,평균통행속도,2018년,59,60,60,60,61,58,57,51,61,60,58,58
일반국도36호선,상행,점유율,2018년,4,4,5,4,4,4,4,5,4,4,4,3
일반국도36호선,하행,차로당도로교통량,2018년,13493,17998,16890,13148,8228,19776,19061,13689,13900,21053,22022,16176
일반국도36호선,하행,평균통행속도,2018년,48,51,52,58,59,60,59,59,58,57,55,54
일반국도36호선,하행,점유율,2018년,6,5,5,5,4,4,4,4,4,4,5,5
절재로,상행,차로당도로교통량,2018년,18269,22729,23317,20464,11311,29975,31295,24441,28494,25144,32312,23029
절재로,상행,평균통행속도,2018년,65,73,74,77,76,77,77,75,76,75,72,72
절재로,상행,점유율,2018년,7,5,5,5,5,5,5,5,5,6,6,5
절재로,하행,차로당도로교통량,2018년,8358,9922,11296,9931,5594,14715,14850,12224,15641,18066,16529,11830
절재로,하행,평균통행속도,2018년,64,67,69,70,70,71,69,69,70,69,68,68
절재로,하행,점유율,2018년,4,3,4,4,3,3,4,4,4,4,4,3
정안세종로,상행,차로당도로교통량,2018년,15464,22296,22476,20621,12667,29692,29352,22710,30193,34356,31701,23091
정안세종로,상행,평균통행속도,2018년,59,60,63,65,65,65,64,63,63,61,62,62
정안세종로,상행,점유율,2018년,3,3,3,3,2,3,3,3,3,3,3,3
정안세종로,하행,차로당도로교통량,2018년,5532,7436,7418,6662,4114,9944,9862,7625,10020,12060,11047,7698
정안세종로,하행,평균통행속도,2018년,66,67,70,71,73,73,72,72,71,70,69,68
정안세종로,하행,점유율,2018년,2,2,2,2,1,2,2,2,2,2,2,2
조치원로,상행,차로당도로교통량,2018년,2971,6773,6779,6384,4128,9073,9640,7682,11558,13218,9662,7164
조치원로,상행,평균통행속도,2018년,38,36,35,35,33,32,32,36,36,35,35,37
조치원로,상행,점유율,2018년,5,6,7,8,9,9,9,8,8,8,7,5
조치원로,하행,차로당도로교통량,2018년,1765,3782,3661,3409,2114,4656,4689,3759,5216,5930,5612,4308
조치원로,하행,평균통행속도,2018년,39,37,35,33,32,32,31,32,31,31,33,35
조치원로,하행,점유율,2018년,6,7,10,13,12,13,14,13,12,11,8,7
지방도604호선,상행,차로당도로교통량,2018년,12181,15097,15695,10510,3880,10,116,120,17993,24582,21456,16079
지방도604호선,상행,평균통행속도,2018년,93,97,96,96,93,90,88,91,98,96,94,93
지방도604호선,상행,점유율,2018년,2,2,3,3,2,4,7,3,5,3,2,2
